code,name
A0201,力学中的基本问题和方法
A020101,理性力学与力学中的数学方法
A020102,物理力学
A020103,力学中的反问题
A0202,动力学与控制
A020201,分析力学
A020202,动力系统的分岔与混沌
A020203,运动稳定性及其控制
A020204,非线性振动及其控制
A020205,多体系统动力学
A020206,转子动力学
A020207,弹逍力学与飞行力学
A020208,载运工具动力学及其控制
A020209,多场耦合与智能结构动力学
A0203,固体力学
A020301,弹性力学与塑性力学
A020302,损伤与断裂力学
A020303,疲劳与可靠性
A020304,本构关系
A020305,复合材料力学
A020306,智能材料与结构力学
A020307,超常环境下材料和结构的力学行为
A020308,微纳米力学
A020309,接触、摩擦与磨损力学
A020310,表面、界面与薄膜力学
A020311,岩体力学和土力学
A020312,结构力学与结构优化
A020313,结构振动、噪声与控制
A020314,流固耦合力学
A020315,制造工艺力学
A020316,实验间体力学
A020317,计算固体力学
A0204,流体力学
A020401,湍流与流动稳定性
A020402,水动力学
A020403,空气动力学
A020404,非平衡流与稀薄气体流动
A020405,多相流与渗流
A020406,非牛顿流与流变学
A020407,流动噪声与气动声学
A020408,流动控制和优化
A020409,环境流体力学
A020410,工业流体力学
A020411,微重力流体力学
A020412,交通流与颗粒流
A020413,电磁与多场耦合流体
A020414,实验流体力学
A020415,计箅流体力学
A0205,生物力学
A020501,组织与器官系统力学
A020502,细胞、亚细胞、生物大分子力学
A020503,仿生、生物材料与运动生物力学
A0206,爆炸与冲击动力学
A020601,爆炸力学
A020602,冲击动力学
A03,天文学
A0301,宇宙学
A030101,宇宙学模型和参数、早期宇宙
A030102,宇宙结构的形成和演化及观测宇宙学
A030103,宇宙暗物质和暗能带
A0302,星系和类星体
A030201,银河系
A030202,星系形成、结构和演化
A030203,星系相互作用和并合；活动星系核
A0303,恒星与星际物质
A030301,恒星结构和演化与恒星大气
A030302,变星和激变变星、双星和多星系统
A030303,恒星形成与早期演化、星际介质和星际分子
A030304,晚期演化和致密天体及其相关窃能过程
A030305,太阳系外行星系统
A0304,太阳和太阳系
A030401,太阳磁场和太阳发电机
A030402,太阳日冕物质抛射、耀斑、日珥和其他活动
A030403,日震学和太阳内部结构；太阳黑子和太阳活动周期变化
A030404,太阳系的起源和演化及太阳系中行星、卫星和其他小天体
A030405,太阳爆发活动对日地空间天气的影响
A0305,天体中基本物理过程的理论和实验
A030501,天文中基本物理过程和天体辐射过程的理论和实验
A030502,实验室天体物理
A0306,天体测最和天文地球动力学
A030601,天文参考系及星表
A030602,相对论天体测量
A030603,天文地球动力学及天体测量学的应用
A030604,时间与频率
A0307,天体力学和人造卫星动力学
A030701,人造天体、太阳系小天体、行星系统和恒星系统动力学
A030702,N体问题、非线性和相对论天体力学
A0308,天文技术和方法
A030801,光学、紫外和红外天文技术与方法
A030802,射电、毫米波和亚毫米波天文技术与方法
A030803,高能天体物理技术方法和空间天文技术与方法
A030804,海量数据处理及数值模拟天文技术与方法
A0309,中、西方天文学史
A0310,天文学同其他学科的交叉
A04,物理学I
A0401,凝聚态物性I：结构、力学和热学性质
A040101,固体结构和人工微结构
A040102,软物质和液体的结构与性质
A040103,凝聚态物质的力学、热学性质，相变和晶格动力学
A040104,凝聚态物质的（非电子）输运性质
A040105,薄膜和纳米结构的形成
A040106,表面、薄膜和纳米结构的表征和分析
A040107,表面、界面、介观系统、纳米系统的非电子性质
A0402,凝聚态物性II:电子结构、电学、磁学和光学性质
A040201,块体材料的电子态
A040202,强关联电子系统
A040203,电子输运过程：电导、光电导、磁电导
A040204,表面、界面和低维系统的电子结构及电学性质
A040205,介观系统和人工微结构的电子结构、光学和电学性质
A040206,超导电性
A040207,磁有序系统
A040208,低维、介观和人工微结构的磁性
A040209,介电、压电、热电和
A040210,凝聚态物质的光学和波谱学、物质与粒子的相互作用和辐射
A040211,极端条件下的凝聚态
A040212,量子计算中的凝聚态物理问题
A040213,软物质、有机和生物材料的电子结构和物理
A040214,生命现象中的凝聚态物理问题
A040215,凝聚态物理中的新效应及其他问题
A0403,原子和分子物理
A040301,原子和分子结构理论
A040302,原子、分子、光子相互作用与光谱
A040303,原子分子碰撞过程及相互作用
